"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
0.94679467600325,"+",-0.13314408607792,"+",0.0837312181118113,NA,-0.11698021100671,"+",-0.119321201269627,NA,0.0841254834179719,"+",NA,NA,NA,0.211708694417404,14,-127.12948314395,288.345922809638,11.1915297796954,7.90532420219227e-05
1.08180591936189,"+",-0.145245023193133,"+",-0.0964254237018363,"+",NA,"+",-0.165664319315043,NA,NA,"+","+",NA,NA,0.239070420813274,15,-125.645754087144,288.3503317037,11.1959386737569,7.88791652792529e-05
0.899153507112466,"+",NA,"+",-0.0450851448346056,"+",-0.0820566961278681,NA,-0.217377155101278,NA,0.0727196709097809,NA,"+",NA,"+",0.238875780136284,15,-125.656496031329,288.37181559207,11.2174225621273,7.80363843453042e-05
0.870451703457841,"+",NA,"+",-0.0441780579939119,NA,NA,NA,-0.107439081440646,"+",0.0527780934379105,NA,"+",NA,NA,0.183846409871451,13,-128.588347338277,288.376694676554,11.222301646611,7.7846243312133e-05
1.07825616435089,"+",-0.127931392800574,"+",-0.0956461934636473,"+",-0.118322449235304,"+",NA,"+",NA,NA,"+",NA,NA,0.23850696798291,15,-125.676842721511,288.412508972434,11.2581159424907,7.64646462669855e-05
0.891006639357923,"+",NA,"+",NA,"+",-0.00294463460041305,NA,NA,NA,NA,NA,NA,"+",NA,0.0999117419731123,10,-132.699738365021,288.413175360179,11.2587823302365,7.64391729593662e-05
0.926794538662879,"+",NA,"+",0.0902445992320942,NA,-0.142836729638373,"+",-0.271653827223499,"+",0.10531243268451,NA,NA,NA,"+",0.238309320086222,15,-125.687742538312,288.434308606036,11.2799155760935,7.56357214022293e-05
1.18033569094709,"+",NA,"+",NA,"+",NA,NA,-0.23119570908158,"+",NA,NA,NA,NA,"+",0.155499187814311,12,-130.022359114699,288.439084426582,11.284691396639,7.5455325556373e-05
1.01173143370594,"+",NA,"+",0.0807912361614141,NA,-0.089213158299434,"+",-0.125951669224447,"+",NA,NA,NA,"+",NA,0.210335582997784,14,-127.202578596953,288.492113715644,11.3377206857015,7.34809450881725e-05
0.953484854393181,"+",-0.164724758691637,"+",-0.0692098874083415,"+",NA,NA,-0.111606666554723,NA,NA,"+","+",NA,NA,0.210097129132923,14,-127.215259363992,288.517475249723,11.3630822197803,7.2555033384309e-05
1.12062233710724,"+",NA,"+",0.0664965654700573,"+",NA,"+",NA,"+",0.0492669837829668,NA,NA,NA,NA,0.154658979933769,12,-130.064124838825,288.522615874833,11.3682228448899,7.23687837335308e-05
0.962902551583442,"+",NA,"+",-0.0602458406779656,NA,-0.014030643715919,"+",NA,NA,NA,NA,"+","+",NA,0.182197257957723,13,-128.67312855615,288.546257112299,11.3918640823564,7.15183760076308e-05
1.14581074091705,"+",-0.111662622504994,"+",NA,"+",-0.102604273070209,"+",-0.192420525210389,"+",NA,NA,NA,NA,"+",0.237237475667186,15,-125.746803023596,288.552429576604,11.3980365466612,7.12979939461369e-05
0.939987185707512,"+",-0.148749541157491,"+",NA,NA,NA,"+",NA,"+",0.0691344432703346,"+",NA,NA,NA,0.182094165421392,13,-128.678422759033,288.556845518067,11.4024524881239,7.11407437281261e-05
1.0424093288506,"+",-0.121615113453937,"+",NA,"+",-0.0709706859865449,NA,-0.0652152656345876,"+",0.0387258802739745,NA,NA,"+",NA,0.23718172362859,15,-125.749872786431,288.558569102275,11.4041760723317,7.10794616069301e-05
1.03394241755626,"+",-0.123659711559362,"+",NA,"+",-0.0816946437644404,"+",NA,"+",0.0507174196570856,NA,NA,"+",NA,0.237112619115761,15,-125.753677438432,288.566178406276,11.4117853763335,7.08095427902877e-05
0.943524966857225,"+",-0.127135690405466,"+",NA,NA,-0.12887659208611,NA,-0.126417672600068,"+",NA,NA,NA,"+","+",0.237087360353343,15,-125.755068011256,288.568959551924,11.4145665219813,7.07111453946382e-05
0.871098342337054,"+",NA,"+",NA,NA,-0.0974571156253104,NA,-0.101795239335126,"+",0.0750715734597938,NA,NA,"+",NA,0.18187210492814,13,-128.689824163057,288.579648326114,11.4252552961707,7.03342457077468e-05
1.02060988614396,"+",-0.130536428455489,"+",0.0458682679734443,"+",-0.0730898992533728,NA,NA,"+",0.0203861175764629,NA,NA,"+",NA,0.236966263320746,15,-125.761734137221,288.582291803853,11.42789877391,7.02413436110086e-05
1.0167424956138,"+",NA,"+",NA,"+",-0.0643030682697062,NA,NA,"+",NA,NA,NA,"+",NA,0.153989764347978,12,-130.09736105274,288.589088302662,11.4346952727194,7.00030511248667e-05
0.843456388744332,"+",-0.109432795167182,"+",0.0788120814964109,NA,-0.0771324950753488,NA,-0.165239342772091,NA,0.0699660521341931,NA,NA,"+","+",0.236790639942173,15,-125.77139993941,288.601623408231,11.4472303782879,6.95656753764353e-05
1.14402945293544,"+",NA,"+",0.0909065795419431,"+",NA,NA,-0.243991852142334,"+",NA,NA,NA,NA,"+",0.181390891734083,13,-128.714520806062,288.629041612125,11.4746485821819,6.86184997386373e-05
0.968124967032683,"+",NA,"+",0.0929635132566265,NA,-0.0825561484698692,"+",-0.245656210715561,NA,0.0977389849033058,NA,NA,"+","+",0.236371807794677,15,-125.794442273691,288.647708076793,11.49331504685,6.79810467140841e-05
