"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.09070789598941,"+",-0.174519002360798,"+",NA,"+",-0.0553976646715084,NA,-0.184401671086455,NA,0.106922807517689,"+",NA,NA,"+",0.271819268123455,15,-144.989995751717,327.038815032846,14.7107623422627,1.35328952916901e-05
1.07410103034886,"+",-0.184672059927802,"+",NA,NA,-0.139596792517053,NA,-0.126863134378352,"+",0.0523929885996251,"+",NA,NA,"+",0.297844400944073,16,-143.461437465234,327.042277915542,14.7142252249591,1.35094841505788e-05
1.06253726797693,"+",NA,"+",NA,"+",-0.0186049576852985,NA,NA,NA,NA,NA,NA,NA,NA,0.0853614554408664,8,-154.56514224883,327.05028449766,14.7222318070771,1.34555098629431e-05
1.095280697379,"+",-0.168974829275097,"+",0.106622044697025,NA,NA,NA,-0.106366447578117,"+",NA,"+",NA,NA,"+",0.271716078505299,15,-144.995947099674,327.05071772876,14.7226650381772,1.34525955059315e-05
1.16187279077253,"+",-0.19773159913269,"+",-0.111039772260315,"+",-0.0474589283131707,"+",NA,NA,0.10777841794547,"+","+","+",NA,0.349306672984433,18,-140.264541139705,327.052159202486,14.7241065119033,1.34429032176612e-05
1.22802767953764,"+",NA,"+",NA,"+",-0.101933884540188,"+",-0.298819378312777,"+",0.133107503034501,NA,NA,NA,"+",0.271571593652554,15,-145.004278688169,327.067380905749,14.7393282151662,1.33409796304198e-05
1.0763474350521,"+",-0.150306167213765,"+",NA,"+",-0.0329883494353038,NA,-0.188102082427798,NA,NA,NA,NA,"+","+",0.245179464129166,14,-146.49908702922,327.085130580178,14.7570778895955,1.32231044431453e-05
0.999677974410314,"+",NA,"+",NA,NA,NA,NA,-0.218237387397993,NA,NA,NA,NA,NA,"+",0.11192574179692,9,-153.327251453618,327.086935339669,14.7588826490863,1.32111775636209e-05
1.06858605323886,"+",-0.165975705324099,"+",0.0950444704375058,"+",-0.0617209267985875,NA,-0.197041749904193,NA,0.0873727538053312,"+",NA,NA,"+",0.297275652888711,16,-143.495443815307,327.110290615689,14.7822379251058,1.30577995040535e-05
1.03860998995449,"+",NA,"+",NA,NA,NA,NA,-0.060544254695271,"+",0.0795733866603556,NA,NA,NA,NA,0.138314733000482,10,-152.060309731536,327.134318093208,14.8062654026249,1.29018650653383e-05
1.12699065227017,"+",-0.116840277330947,"+",0.0827287261602627,NA,-0.128367907498418,"+",-0.209708811823293,"+",0.0840228358088285,NA,NA,"+","+",0.348629268424865,18,-140.308242513506,327.139561950089,14.8115092595057,1.28680816066491e-05
1.0476258502169,"+",-0.192751522780566,"+",-0.0664447665432539,"+",-0.0562714769408435,NA,-0.150987448984749,NA,NA,"+","+",NA,"+",0.322801282454806,17,-141.941445955333,327.155619183393,14.8275664928099,1.2765182334515e-05
1.17656334581619,"+",NA,"+",NA,"+",-0.0143447171576518,"+",NA,NA,0.133473941257788,NA,NA,"+",NA,0.191392360365171,12,-149.390105998356,327.174578193896,14.8465255033126,1.26447464596672e-05
1.19560435845764,"+",-0.203156473512367,"+",-0.111994507698521,NA,-0.11747914903671,"+",NA,"+",0.0510086635264266,"+","+","+",NA,0.373848020333461,19,-138.649837249955,327.17467449991,14.8466218093271,1.26441375917589e-05
